,Cities,Lat,Lon,Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
569,helena,46.59,-112.04,92.44,11,1,17.22
570,murwillumbah,-28.32,153.4,67.42,82,90,11.41
571,san ramon,37.78,-121.98,101.73,16,1,6.93
572,palmer,42.16,-72.33,65.34,38,20,4.7
573,susanville,40.42,-120.65,98.28,8,1,4.7
574,hearst,49.68,-83.67,49.35,81,44,4.25
575,talaya,61.38,152.75,52.77,66,94,9.62
576,pacific grove,36.62,-121.92,81.63,53,1,3.36
577,madingou,-4.15,13.55,73.98,73,49,5.93
578,thinadhoo,0.53,72.93,80.47,76,100,25.3
579,piacabucu,-10.41,-36.43,72.59,83,17,9.1
580,novo aripuana,-5.12,-60.38,82.18,36,46,1.39
581,prince rupert,54.32,-130.32,59,100,90,1.54
582,norsup,-16.07,167.38,80.6,69,75,5.82
583,annur,11.23,77.13,77,94,40,2.24
584,pitimbu,-7.47,-34.81,75.2,83,32,6.93
585,jhawarian,32.36,72.62,82.67,64,0,2.04
586,banda aceh,5.56,95.32,79.16,77,100,7.67
587,lastoursville,-0.81,12.73,72.61,91,100,2.98
588,malmesbury,-33.46,18.73,54.64,89,39,6.08
589,lorengau,-2.02,147.27,82.35,76,100,5.75
592,methoni,36.82,21.7,72.16,77,0,4.7
593,hay river,60.82,-115.8,48.2,87,75,9.17
594,maiduguri,11.85,13.16,77.83,80,97,10.85
597,ypsonas,34.69,32.96,78.8,83,0,8.05
599,bafq,31.61,55.41,68.79,21,0,5.84
600,kieta,-6.22,155.63,85.91,61,100,3.65
601,bagdarin,54.43,113.6,56.91,78,69,0.49
602,bo phloi,14.32,99.52,78.51,84,100,4.79
603,cuitareo,19.62,-100.6,68,85,90,1.99
604,quatre cocos,-20.21,57.76,66.96,94,40,4.7
606,te anau,-45.42,167.72,46.63,85,66,0.29
607,gotsu,35.0,132.22,77,88,75,3.36
608,puente alto,-33.62,-70.58,55.4,66,0,9.17
609,waipawa,-41.41,175.52,58.3,82,100,24.16
611,itoman,26.12,127.67,78.8,94,75,33.33
612,okha,53.57,142.95,64.49,84,90,4.79
613,la asuncion,11.03,-63.86,73.4,100,0,11.41
614,sabha,27.04,14.43,84.72,28,1,12.64
615,broken hill,-31.95,141.43,62.6,39,0,12.75
616,nushki,29.55,66.02,68.7,22,0,0.92
617,pishin,30.58,67,64.49,26,0,0.58
619,roald,62.58,6.13,50.23,76,97,10.29
620,darab,28.75,54.54,74.35,37,0,1.43
621,broome,-17.97,122.23,71.6,83,100,2.24
622,troitsko-pechorsk,62.71,56.2,49.46,87,75,3.11
623,lata,40.16,-8.33,68.94,82,0,3.49
624,chebsara,59.2,38.84,54.39,91,98,7.43
625,mbandaka,0.05,18.26,70.72,95,98,3.51
626,lufkin,31.34,-94.73,80.98,66,75,13.87
627,beboto,8.27,16.94,71.94,91,100,3.36
629,puerto leguizamo,-0.19,-74.78,74.89,91,46,1.88
631,funtua,11.52,7.31,69.58,92,97,10.6
632,buala,-8.14,159.59,84.87,73,40,10.09
633,plettenberg bay,-34.05,23.37,57.02,83,95,6.82
634,monticello,45.31,-93.79,72.23,53,1,5.73
635,pauini,-7.71,-66.98,83.82,55,53,2.62
636,lompoc,34.64,-120.46,83.03,47,1,11.41
637,tiarei,-17.53,-149.33,84.2,70,40,16.11
638,grindavik,63.84,-22.43,48.2,93,90,18.34
639,nangong,37.36,115.37,72.84,67,39,3.29
640,wynyard,-41.0,145.72,52,82,27,7
641,meadow lake,34.8,-106.54,86.25,15,75,19.46
642,darnah,32.77,22.64,77.54,66,0,21.92
643,montepuez,-13.13,39,63.93,77,1,6.69
644,verkhoyansk,67.54,133.38,54.66,63,44,1.88
645,aksay,47.26,39.87,75.2,25,20,17.9
646,bol,13.46,14.71,80.73,61,67,21.81
647,juneau,58.3,-134.42,57.2,67,20,8.05
648,hirado,33.36,129.55,78.66,83,75,13.87
650,narasannapeta,18.42,84.05,79.59,87,48,3.53
652,savannah bight,16.45,-85.85,84.54,77,68,21.41
653,aqtobe,50.28,57.21,46.4,63,0,4.47
654,teya,60.38,92.63,42.69,87,35,6.93
655,ghansor,22.65,79.95,72.93,92,4,2.01
656,svetlaya,46.54,138.33,66.72,74,100,1.66
658,presidencia roque saenz pena,-26.79,-60.44,63.39,65,38,9.66
660,sheregesh,52.92,87.99,38.64,88,100,1.83
661,vitim,59.45,112.56,59.7,76,23,3.8
662,praya,-8.71,116.27,73.4,100,40,2.24
663,morant bay,17.88,-76.41,81.79,66,40,12.75
664,ambilobe,-13.2,49.05,65.77,75,57,3.62
665,valera,9.32,-70.6,75.88,75,98,3.83
666,fairbanks,64.84,-147.72,48.04,81,90,4.7
667,kamo,37.65,139.05,86,62,20,9.17
668,salinopolis,-0.61,-47.36,80.19,82,58,13.09
669,saint-pierre,-21.34,55.48,59.14,88,90,3.36
670,solnechnyy,50.72,136.63,67.6,69,100,8.52
671,esperance,-33.87,121.9,57.2,71,100,13.87
672,yudong,29.39,106.52,73.63,78,90,8.95
673,ormara,25.21,64.64,80.49,84,0,14.29
674,deder,9.32,41.45,54.72,84,34,4.94
675,nome,64.5,-165.41,50.45,61,40,9.17
676,niihama,33.96,133.32,80.15,88,40,6.93
677,filadelfia,-22.35,-60.03,84.96,30,23,9.1
678,sokolo,14.73,-6.12,76.26,75,97,4.83
679,emerald,-23.53,148.17,73.22,64,28,8.05
680,brumunddal,60.88,10.94,39,88,33,3.51
681,necochea,-38.55,-58.74,44.01,79,87,3
682,samarai,-10.62,150.67,79.56,85,71,13.8
683,north bend,43.41,-124.22,72.7,60,1,19.46
684,visnes,59.36,5.22,52.14,76,97,23.04
685,orangeburg,33.49,-80.86,80.62,54,1,13.87
686,mutsu,41.29,141.22,73.4,83,75,6.93
687,miramar,25.99,-80.23,84.78,70,20,9.17
688,fortuna,40.6,-124.16,71.1,56,1,11.41
690,dalmatovo,56.26,62.94,41.68,91,0,6.15
691,chakia,26.42,85.05,83.14,75,68,0.63
693,witu,-2.39,40.44,73.56,81,4,8.61
694,pisco,-13.7,-76.22,62.35,72,5,14.99
695,bubaque,11.28,-15.83,79.86,80,100,14.5
696,otradnoye,59.78,30.82,57,96,100,7.7
699,nema,57.51,50.5,48.09,86,100,4.16
701,huarmey,-10.07,-78.15,61.36,82,24,7.16
702,cortes,41.94,-1.44,65.28,68,0,18.34
703,cabedelo,-6.98,-34.83,75.2,83,45,6.93
704,nadvoitsy,63.87,34.32,55.08,88,96,10.22
705,markova,48.68,24.41,57.43,83,29,3.94
706,sangar,63.92,127.47,53.37,79,7,6.71
707,mucuri,-18.09,-39.55,73.45,84,0,10.04
708,libertador general san martin,-23.81,-64.79,70,60,9,1.01
709,puri,19.8,85.85,82.4,94,20,3.36
710,maracas,-13.44,-40.43,60.39,91,1,8.46
711,sena madureira,-9.07,-68.66,84.45,52,66,1.45
712,jian,27.12,114.98,75.69,80,88,2.64
714,voyvozh,62.89,54.96,51.58,86,94,3.91
715,mirnyy,62.54,113.96,48.2,93,39,8.95
716,talara,-4.58,-81.27,62.02,87,67,16.06
717,yulara,-25.24,130.99,66.2,17,0,12.75
718,labuhan,-6.88,112.21,78.1,75,60,10.51
